,decade,artist,song,track id,release date,song length (ms),explicit,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time signature,valence
36,1980-1989,Luis Miguel,Ahora Te Puedes Marchar,1uKjQoh8JZj9ryuYRhpd7E,1987-07-15,191973,False,80,0.148,0.78,0.877,2.36e-06,6,0.0627,-3.683,0,0.0427,133.263,4,0.909
37,1980-1989,Tom Petty,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,1989-01-01,256000,False,80,0.212,0.623,0.449,0.0,5,0.0613,-13.333,1,0.0253,84.383,4,0.572
38,1980-1989,Daryl Hall & John Oates,You Make My Dreams (Come True),4o6BgsqLIBViaGVbx5rbRk,1980,190626,False,79,0.234,0.751,0.501,0.112,5,0.0467,-12.151,1,0.0551,167.057,4,0.902
39,1980-1989,Pixies,Where Is My Mind? - Remastered,7wCmS9TTVUcIhRalDYFgPy,1988-03-21,234973,False,79,0.0204,0.519,0.441,0.000453,4,0.076,-14.178,1,0.0353,81.334,4,0.25
40,1980-1989,Fleetwood Mac,Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,1987-04-13,226653,False,79,0.258,0.73,0.487,0.01,4,0.0852,-10.991,1,0.0303,114.965,4,0.731
41,1980-1989,Phil Collins,In The Air Tonight - 2015 Remastered,18AXbzPzBS8Y3AkgSxzJPb,1981-01-01,336453,False,79,0.551,0.446,0.239,4.1e-06,0,0.0697,-13.945,1,0.0316,189.507,4,0.298
42,1980-1989,Mötley Crüe,Kickstart My Heart,7GonnnalI2s19OCQO1J7Tf,1989,282653,False,79,0.00125,0.359,0.981,0.00236,7,0.284,-3.622,0,0.303,178.98,4,0.271
43,1980-1989,Soft Cell,Tainted Love,0cGG2EouYCEEC3xfa0tDFV,1981,153800,False,79,0.462,0.5,0.501,0.0,0,0.26,-8.284,0,0.0376,144.438,4,0.623
44,1980-1989,Bob Marley & The Wailers,Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,1980,237000,False,79,0.36,0.916,0.72,0.00016,0,0.0958,-8.548,1,0.1,103.312,4,0.76
45,1980-1989,Billy Joel,Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,1983-08-08,197706,False,79,0.0755,0.701,0.944,0.0,4,0.601,-2.986,1,0.0455,128.993,4,0.792
46,1980-1989,Europe,The Final Countdown,3MrRksHupTVEQ7YbA0FsZK,1986,310333,False,79,0.0628,0.529,0.843,0.000827,6,0.0608,-6.908,0,0.0616,117.662,4,0.188
47,1980-1989,Hombres G,Devuélveme a mi chica,1Wrzhfa5bNlqvsnCztz190,1985,194866,False,79,0.0031,0.603,0.843,0.0337,9,0.445,-7.597,0,0.0557,172.676,4,0.503
48,1980-1989,Vicente Fernández,Mujeres Divinas,3KapNGuqWYFl9gBfJz9tOT,1987-01-25,193333,False,78,0.552,0.528,0.302,5.2e-05,5,0.269,-9.577,0,0.0674,140.963,3,0.616
49,1980-1989,Starship,We Built This City,6OnfBiiSc9RGKiBKKtZXgQ,1985-09-10,296080,False,78,0.052,0.661,0.908,0.0,5,0.0708,-4.897,1,0.039,144.091,4,0.656
0,1990-1999,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,1994-11-01,241106,False,99,0.164,0.336,0.627,0.0,7,0.0708,-7.463,1,0.0384,150.273,4,0.35
1,1990-1999,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),4kKdvXD0ez7jp1296JmAts,1994-11-08,155453,False,92,0.903,0.652,0.259,0.0,2,0.362,-13.336,1,0.0595,142.169,4,0.836
2,1990-1999,Shakin' Stevens,Merry Christmas Everyone,2TE4xW3ImvpltVU0cPcKUn,1991-11-25,220160,False,91,0.129,0.534,0.904,0.0,9,0.128,-3.315,1,0.0369,202.899,4,0.96
3,1990-1999,Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),2pXpURmn6zC5ZYDMms6fwa,1999-08-20,155933,False,90,0.76,0.724,0.276,0.0,7,0.116,-12.25,1,0.0599,112.874,4,0.718
4,1990-1999,Mariah Carey,Christmas (Baby Please Come Home),3PIDciSFdrQxSQSihim3hN,1994-11-01,153240,False,89,0.022,0.561,0.782,0.0,3,0.109,-7.444,1,0.0317,127.148,4,0.704
